AAA ABA ACA ADA BAA BAB BBB BBC BBD BCD BDD BDC BDB BDA CAA CBA CCA CDA DAA DAB DBB DBC DBD DCD DDD DDC DDB DDA EAA EAB EBB ECB EDB EDA FAA FAB FAC FAD FBD FCD FCC FBC FBB FBA FAA EDA EDB EDC EDD ECD ECC EBC EAC EAB EAA DDA DCA DBA DAA CDA CDB CDC CDD CCD CBD CBC CBB CAB CAA BDA BCA BBA BAA ADA ADB ADC ADD ACD ABD ABC ABB AAB AAA 
33
ABD AAD
ABB ABB
ABC ABC
ACA ACB
ACD ACD
ADD ADD
BBD BAD
BBB BBB BCB
BBC BBC
BCD BCD
BDD BDD
CBD CAD
CBB CBB
CBC CBC
CCA CCB
CCD CCD
CDD CDD
DBD DAD
DBB DBB DCB
DBC DBC
DCD DCD
DDD DDD
EAC EAD
EBB EBB
EBC EBC
ECB ECB
ECD ECD
EDD EDD
FAD FAD
FBB FBB
FBC FBC
FCC FCB
FCD FCD FDD
