AAA ABA ACA ADA BAA BAB BAC BAD BBD BCD BDD BDC BDB BDA CAA CBA CCA CDA DAA DAB DAC DAD DBD DCD DDD DDC DDB DDA EAA EBA EBB ECB ECA EDA FAA FAB FAC FBC FCC FCD FDD FDC FDB FDA GAA GBA GBB GCB GCA GDA HAA HAB HAC HBC HBB HCB HCC HCD HDD HDC HDB HDA IAA IBA ICA IDA JAA JAB JBB JBC JBD JCD JCC JCB JDB JDA KAA KBA KCA KDA LAA LAB LBB LBC LCC LCD LBD LAD LAC LAB LAA KDA KDB KCB KCC KCD KBD KBC KBB KAB KAA JDA JCA JBA JAA IDA IDB IDC IDD ICD ICC ICB IBB IBC IAC IAB IAA HDA HCA HBA HAA GDA GDB GDC GDD GCD GBD GAD GAC GAB GAA FDA FCA FCB FBB FBA FAA EDA EDB EDC EDD ECD EBD EAD EAC EAB EAA DDA DCA DCB DBB DBA DAA CDA CDB CDC CDD CCD CBD CBC CBB CAB CAA BDA BCA BCB BBB BBA BAA ADA ADB ADC ADD ACD ABD ABC ABB AAB AAA 
66
ABD AAD
ABB ABB
ABC ABC
ACA ACB
ACD ACD
ADD ADD
BAD BAD
BBB BBB
BAC BBC
BCB BCB
BCD BCD
BDD BDD
CBD CAD
CBB CBB
CBC CBC
CCA CCB
CCD CCD
CDD CDD
DAD DAD
DBB DBB
DAC DBC
DCB DCB
DCD DCD
DDD DDD
EAD EAD
EBB EBB EBC
ECB ECB
ECD ECD
EDD EDD
FAC FAD
FBB FBB
FBC FBC
FCB FCB
FCD FCD
FDD FDD
GAD GAD
GBB GBB GBC
GCB GCB
GCD GCD
GDD GDD
HAC HAD
HBB HBB
HBC HBC
HCB HCB
HCD HCD
HDD HDD
IAC IAD
IBB IBB
IBC IBC
ICB ICB
ICD ICD
IDD IDD
JBD JAD
JBB JBB
JBC JBC
JCB JCB
JCD JCD JDD
KBD KAD
KBB KBB
KBC KBC
KCB KCB
KCD KCD KDD
LAD LAD
LBB LBB LCB
LBC LBC
LCD LCD LDD
