node0 node7 node8 node12 node11 node10 node8 node7 node14 node15 node20 node18 node17 node15 node14 node21 node22 node24 node25 node26 node22 node21 node28 node29 node31 node32 node34 node29 node28 node35 node36 node40 node39 node38 node36 node35 node42 node43 node45 node46 node48 node43 node42 node49 node50 node52 node53 node54 node50 node49 node56 node57 node59 node60 node62 node57 node56 node63 node64 node66 node67 node68 node64 node63 node70 node71 node75 node74 node73 node71 node70 node77 node78 node82 node81 node80 node78 node77 node84 node85 node87 node88 node89 node85 node84 node91 node92 node94 node95 node96 node92 node91 node98 node99 node103 node102 node101 node99 node98 node105 node106 node108 node109 node110 node106 node105 node112 node113 node117 node116 node118 node116 node115 node113 node112 node119 node120 node124 node123 node122 node120 node119 node126 node127 node129 node130 node131 node127 node126 node133 node134 node138 node137 node136 node134 node133 node140 node141 node143 node144 node145 node141 node140 node147 node148 node153 node151 node150 node148 node147 node154 node155 node157 node158 node159 node158 node160 node155 node154 node161 node162 node164 node165 node166 node162 node161 node168 node169 node174 node172 node171 node169 node168 node175 node176 node178 node179 node180 node176 node175 node182 node183 node187 node186 node185 node183 node182 node189 node190 node192 node193 node195 node190 node189 node0 node1 node5 node4 node6 node1 node0 
84
node4 node3
node5 node5
node6 node6
node10 node10
node12 node12
node11 node13
node17 node17
node18 node19
node20 node20
node24 node24
node26 node26
node25 node27
node31 node31
node32 node33
node34 node34
node38 node38
node40 node40
node39 node41
node45 node45
node46 node47
node48 node48
node52 node52
node54 node54
node53 node55
node59 node59
node60 node61
node62 node62
node66 node66
node68 node68
node67 node69
node73 node73
node75 node75
node74 node76
node80 node80
node82 node82
node81 node83
node87 node87
node89 node89
node88 node90
node94 node94
node96 node96
node95 node97
node101 node101
node103 node103
node102 node104
node108 node108
node110 node110
node109 node111
node115 node115
node117 node117
node118 node118
node122 node122
node124 node124
node123 node125
node129 node129
node131 node131
node130 node132
node136 node136
node138 node138
node137 node139
node143 node143
node145 node145
node144 node146
node150 node150
node151 node152
node153 node153
node157 node157
node159 node159
node160 node160
node164 node164
node166 node166
node165 node167
node171 node171
node172 node173
node174 node174
node178 node178
node180 node180
node179 node181
node185 node185
node187 node187
node186 node188
node192 node192
node193 node194
node195 node195
