Egbertree Emsham Burrerchester Skelhampton Elmey Watchwang Todderbrough Ciringsmith Rotling Ketley Marlseybrough Clerelow Blanhead Shaftgrove Soddleney Egginghall Egmansdown Reddledenthorne Emsling Camborough Shrivling Cleremere Fulover Skelberover Worborough Candlesstanling Chipmerbrook Leatherlow Whithall Tipdown Leatherlow Chipmerbrook Falrensbury Candlesstanling Worborough Fulover Cleremere Camborough Emsling Egmansdown Egginghall Flitchester Soddleney Shaftgrove Ciringbury Blanhead Clerelow Ketley Rotling Canningborough Ciringsmith Todderbrough Wetbury Watchwang Elmey Burrerchester Emsham Egbertree 
12
Egbertree Bootherlow
Skelhampton Skelhampton
Todderbrough Todderbrough
Ciringsmith Ciringsmith
Marlseybrough Marlseybrough
Shaftgrove Shaftgrove
Soddleney Soddleney
Reddledenthorne Reddledenthorne
Cleremere Cleremere
Fulover Fulover
Falrensbury Falrensbury
Tipdown Tipdown Sidensmith
